0.7096,0,0.0111,0,0,0
0.7071,0,0.0059,0,0,1
0.7103,0,0.0034,0,0,2
0.7118,0,0.0017,0,0,3
0.7126,0,0.0014,0,0,4
0.7131,0.0001,0.0009,0.0001,0,5
0.7118,0,0.0002,0,0,6
0.7117,0.0001,0.0003,0.0001,0,7
0.7123,0,0.0006,0.0001,1,7
0.7149,0,0.0009,0.0001,1,6
0.7172,0.0001,0.0016,0,1,5
0.7188,0,0.0014,0,1,4
0.7211,0.0001,0.0025,0,1,3
0.7153,0,0.0056,0.0001,1,2
0.7063,0,0.0127,0,1,1
0.6974,0,0.0185,0,1,0
0.0014,0.0028,0.0013,0.0008,2,7
0.0011,0.0031,0.0022,0.0008,2,6
0.0008,0.0061,0.0009,0.0011,2,5
0.0008,0.0066,0.0013,0.0009,2,4
0.0014,0.0112,0.0013,0.0014,2,3
0.0022,0.0138,0.0008,0.0013,2,2
0.0011,0.0278,0.001,0.002,2,1
0.0006,0.0448,0.002,0.0064,2,0
0.0024,0.0041,0.0011,0.0008,3,7
0.0023,0.004,0.0015,0.0011,3,6
0.0017,0.0063,0.0005,0.001,3,5
0.0018,0.0099,0.0013,0.0011,3,4
0.0013,0.0161,0.0017,0.0016,3,3
0.0013,0.0277,0.0008,0.0024,3,2
0.0008,0.052,0.0008,0.0038,3,1
0.0006,0.0754,0.0009,0.0097,3,0
0.002,0.0054,0.0013,0.001,4,7
0.0024,0.0038,0.0006,0.0007,4,6
0.0023,0.01,0.0006,0.0015,4,5
0.0016,0.0121,0.0011,0.0014,4,4
0.0024,0.0206,0.0008,0.0014,4,3
0.0017,0.0379,0.0005,0.0008,4,2
0.0016,0.0801,0.0018,0.0086,4,1
0.0029,0.1252,0.0012,0.0182,4,0
0.0024,0.0061,0.0005,0.0013,5,7
0.0017,0.0073,0.0019,0.0011,5,6
0.0015,0.0119,0.0013,0.0016,5,5
0.0023,0.0175,0.0018,0.0009,5,4
0.0024,0.0283,0.0009,0.0021,5,3
0.0023,0.0526,0.0008,0.0031,5,2
0.002,0.1055,0.001,0.0183,5,1
0.0006,0.1636,0.0007,0.0466,5,0
0.0024,0.0064,0.0014,0.0011,6,7
0.004,0.0095,0.0014,0.0012,6,6
0.0036,0.0131,0.0015,0.0007,6,5
0.0032,0.0216,0.0015,0.0012,6,4
0.0049,0.035,0.0012,0.0016,6,3
0.005,0.0709,0.0009,0.0022,6,2
0.0033,0.1345,0.0009,0.0255,6,1
0.0035,0.1933,0.0011,0.0627,6,0
0.0048,0.0063,0.0009,0.0009,7,7
0.0059,0.0085,0.0015,0.0015,7,6
0.0047,0.0154,0.0015,0.0008,7,5
0.0041,0.0313,0.0003,0.0017,7,4
0.0048,0.059,0.0014,0.0025,7,3
0.0069,0.1058,0.0018,0.0105,7,2
0.0049,0.1776,0.0011,0.0392,7,1
0.0049,0.2288,0.0006,0.0891,7,0
0.0047,0.01,0.0015,0.0013,8,7
0.0052,0.0149,0.002,0.0017,8,6
0.0103,0.0237,0.0019,0.0016,8,5
0.0125,0.037,0.0016,0.0025,8,4
0.0119,0.0739,0.0013,0.004,8,3
0.0197,0.1358,0.0018,0.0089,8,2
0.0197,0.2143,0.0011,0.0565,8,1
0.0161,0.2194,0.0009,0.0855,8,0
0.0069,0.0125,0.0022,0.0009,9,7
0.0108,0.0152,0.0022,0.0006,9,6
0.0108,0.0252,0.0012,0.0007,9,5
0.0132,0.0539,0.0026,0.0019,9,4
0.0301,0.115,0.0015,0.0053,9,3
0.0368,0.223,0.0014,0.0501,9,2
0.0533,0.3316,0.0015,0.0885,9,1
0.0366,0.4007,0.0023,0.1643,9,0
0.0097,0.0147,0.0011,0.0017,10,7
0.0106,0.0205,0.0021,0.0008,10,6
0.0182,0.03,0.002,0.001,10,5
0.0236,0.0687,0.0025,0.0015,10,4
0.042,0.15,0.0016,0.0126,10,3
0.0634,0.2585,0.0014,0.0517,10,2
0.1093,0.3964,0.0041,0.1296,10,1
0.0884,0.4687,0.0067,0.2118,10,0
0.0106,0.0144,0.0011,0.0006,11,7
0.0165,0.0209,0.0022,0.0008,11,6
0.0262,0.0367,0.0024,0.0021,11,5
0.0361,0.0914,0.0034,0.0032,11,4
0.0668,0.219,0.0036,0.0328,11,3
0.0926,0.3752,0.0029,0.1341,11,2
0.093,0.4593,0.0071,0.2283,11,1
0.0846,0.4644,0.0121,0.2803,11,0
